transaction_id,sender_id,receiver_id,amount,timestamp
TXN0001,NORM_0,NORM_1,100.0,2026-01-01 09:15:00
TXN0002,NORM_1,NORM_2,113.7,2026-01-01 09:30:00
TXN0003,NORM_2,NORM_3,127.4,2026-01-01 09:45:00
TXN0004,NORM_3,NORM_4,141.1,2026-01-01 10:00:00
TXN0005,NORM_4,NORM_5,154.8,2026-01-01 10:15:00
TXN0006,NORM_5,NORM_6,168.5,2026-01-01 10:30:00
TXN0007,NORM_6,NORM_7,182.2,2026-01-01 10:45:00
TXN0008,NORM_7,NORM_8,195.9,2026-01-01 11:00:00
TXN0009,NORM_8,NORM_9,209.6,2026-01-01 11:15:00
TXN0010,NORM_9,NORM_10,223.3,2026-01-01 11:30:00
TXN0011,NORM_10,NORM_11,237.0,2026-01-01 11:45:00
TXN0012,NORM_11,NORM_12,250.7,2026-01-01 12:00:00
TXN0013,NORM_12,NORM_13,264.4,2026-01-01 12:15:00
TXN0014,NORM_13,NORM_14,278.1,2026-01-01 12:30:00
TXN0015,NORM_14,NORM_15,291.8,2026-01-01 12:45:00
TXN0016,NORM_15,NORM_16,305.5,2026-01-01 13:00:00
TXN0017,NORM_16,NORM_17,319.2,2026-01-01 13:15:00
TXN0018,NORM_17,NORM_18,332.9,2026-01-01 13:30:00
TXN0019,NORM_18,NORM_19,346.6,2026-01-01 13:45:00
TXN0020,NORM_19,NORM_20,360.3,2026-01-01 14:00:00
TXN0021,NORM_0,NORM_1,374.0,2026-01-01 14:15:00
TXN0022,NORM_1,NORM_2,387.7,2026-01-01 14:30:00
TXN0023,NORM_2,NORM_3,401.4,2026-01-01 14:45:00
TXN0024,NORM_3,NORM_4,415.1,2026-01-01 15:00:00
TXN0025,NORM_4,NORM_5,428.8,2026-01-01 15:15:00
TXN0026,NORM_5,NORM_6,442.5,2026-01-01 15:30:00
TXN0027,NORM_6,NORM_7,456.2,2026-01-01 15:45:00
TXN0028,NORM_7,NORM_8,469.9,2026-01-01 16:00:00
TXN0029,NORM_8,NORM_9,483.6,2026-01-01 16:15:00
TXN0030,NORM_9,NORM_10,497.3,2026-01-01 16:30:00
TXN0031,NORM_10,NORM_11,511.0,2026-01-01 16:45:00
TXN0032,NORM_11,NORM_12,524.7,2026-01-01 17:00:00
TXN0033,NORM_12,NORM_13,538.4,2026-01-01 17:15:00
TXN0034,NORM_13,NORM_14,552.1,2026-01-01 17:30:00
TXN0035,NORM_14,NORM_15,565.8,2026-01-01 17:45:00
TXN0036,NORM_15,NORM_16,579.5,2026-01-01 18:00:00
TXN0037,NORM_16,NORM_17,593.2,2026-01-01 18:15:00
TXN0038,NORM_17,NORM_18,606.9,2026-01-01 18:30:00
TXN0039,NORM_18,NORM_19,620.6,2026-01-01 18:45:00
TXN0040,NORM_19,NORM_20,634.3,2026-01-01 19:00:00
TXN0041,NORM_0,NORM_1,648.0,2026-01-01 19:15:00
TXN0042,NORM_1,NORM_2,661.7,2026-01-01 19:30:00
TXN0043,NORM_2,NORM_3,675.4,2026-01-01 19:45:00
TXN0044,NORM_3,NORM_4,689.1,2026-01-01 20:00:00
TXN0045,NORM_4,NORM_5,702.8,2026-01-01 20:15:00
TXN0046,NORM_5,NORM_6,716.5,2026-01-01 20:30:00
TXN0047,NORM_6,NORM_7,730.2,2026-01-01 20:45:00
TXN0048,NORM_7,NORM_8,743.9,2026-01-01 21:00:00
TXN0049,NORM_8,NORM_9,757.6,2026-01-01 21:15:00
TXN0050,NORM_9,NORM_10,771.3,2026-01-01 21:30:00
TXN0051,NORM_10,NORM_11,785.0,2026-01-01 21:45:00
TXN0052,NORM_11,NORM_12,798.7,2026-01-01 22:00:00
TXN0053,NORM_12,NORM_13,812.4,2026-01-01 22:15:00
TXN0054,NORM_13,NORM_14,826.1,2026-01-01 22:30:00
TXN0055,NORM_14,NORM_15,839.8,2026-01-01 22:45:00
TXN0056,NORM_15,NORM_16,853.5,2026-01-01 23:00:00
TXN0057,NORM_16,NORM_17,867.2,2026-01-01 23:15:00
TXN0058,NORM_17,NORM_18,880.9,2026-01-01 23:30:00
TXN0059,NORM_18,NORM_19,894.6,2026-01-01 23:45:00
TXN0060,NORM_19,NORM_20,908.3,2026-01-02 00:00:00
TXN0061,NORM_0,NORM_1,922.0,2026-01-02 00:15:00
TXN0062,NORM_1,NORM_2,935.7,2026-01-02 00:30:00
TXN0063,NORM_2,NORM_3,949.4,2026-01-02 00:45:00
TXN0064,NORM_3,NORM_4,963.1,2026-01-02 01:00:00
TXN0065,NORM_4,NORM_5,976.8,2026-01-02 01:15:00
TXN0066,NORM_5,NORM_6,990.5,2026-01-02 01:30:00
TXN0067,NORM_6,NORM_7,1004.2,2026-01-02 01:45:00
TXN0068,NORM_7,NORM_8,1017.9,2026-01-02 02:00:00
TXN0069,NORM_8,NORM_9,1031.6,2026-01-02 02:15:00
TXN0070,NORM_9,NORM_10,1045.3,2026-01-02 02:30:00
TXN0071,NORM_10,NORM_11,1059.0,2026-01-02 02:45:00
TXN0072,NORM_11,NORM_12,1072.7,2026-01-02 03:00:00
TXN0073,NORM_12,NORM_13,1086.4,2026-01-02 03:15:00
TXN0074,NORM_13,NORM_14,1100.1,2026-01-02 03:30:00
TXN0075,NORM_14,NORM_15,1113.8,2026-01-02 03:45:00
TXN0076,NORM_15,NORM_16,1127.5,2026-01-02 04:00:00
TXN0077,NORM_16,NORM_17,1141.2,2026-01-02 04:15:00
TXN0078,NORM_17,NORM_18,1154.9,2026-01-02 04:30:00
TXN0079,NORM_18,NORM_19,1168.6,2026-01-02 04:45:00
TXN0080,NORM_19,NORM_20,1182.3,2026-01-02 05:00:00
TXN0081,NORM_0,NORM_1,1196.0,2026-01-02 05:15:00
TXN0082,NORM_1,NORM_2,1209.7,2026-01-02 05:30:00
TXN0083,NORM_2,NORM_3,1223.4,2026-01-02 05:45:00
TXN0084,NORM_3,NORM_4,1237.1,2026-01-02 06:00:00
TXN0085,NORM_4,NORM_5,1250.8,2026-01-02 06:15:00
TXN0086,NORM_5,NORM_6,1264.5,2026-01-02 06:30:00
TXN0087,NORM_6,NORM_7,1278.2,2026-01-02 06:45:00
TXN0088,NORM_7,NORM_8,1291.9,2026-01-02 07:00:00
TXN0089,NORM_8,NORM_9,1305.6,2026-01-02 07:15:00
TXN0090,NORM_9,NORM_10,1319.3,2026-01-02 07:30:00
TXN0091,NORM_10,NORM_11,1333.0,2026-01-02 07:45:00
TXN0092,NORM_11,NORM_12,1346.7,2026-01-02 08:00:00
TXN0093,NORM_12,NORM_13,1360.4,2026-01-02 08:15:00
TXN0094,NORM_13,NORM_14,1374.1,2026-01-02 08:30:00
TXN0095,NORM_14,NORM_15,1387.8,2026-01-02 08:45:00
TXN0096,NORM_15,NORM_16,1401.5,2026-01-02 09:00:00
TXN0097,NORM_16,NORM_17,1415.2,2026-01-02 09:15:00
TXN0098,NORM_17,NORM_18,1428.9,2026-01-02 09:30:00
TXN0099,NORM_18,NORM_19,1442.6,2026-01-02 09:45:00
TXN0100,NORM_19,NORM_20,1456.3,2026-01-02 10:00:00
TXN0101,CYCLE_0_A,CYCLE_0_B,1500.0,2026-01-02 10:15:00
TXN0102,CYCLE_0_B,CYCLE_0_C,1500.0,2026-01-02 10:30:00
TXN0103,CYCLE_0_C,CYCLE_0_D,1500.0,2026-01-02 10:45:00
TXN0104,CYCLE_0_D,CYCLE_0_A,1500.0,2026-01-02 11:00:00
TXN0105,CYCLE_1_A,CYCLE_1_B,1550.0,2026-01-02 11:15:00
TXN0106,CYCLE_1_B,CYCLE_1_C,1550.0,2026-01-02 11:30:00
TXN0107,CYCLE_1_C,CYCLE_1_D,1550.0,2026-01-02 11:45:00
TXN0108,CYCLE_1_D,CYCLE_1_A,1550.0,2026-01-02 12:00:00
TXN0109,CYCLE_2_A,CYCLE_2_B,1600.0,2026-01-02 12:15:00
TXN0110,CYCLE_2_B,CYCLE_2_C,1600.0,2026-01-02 12:30:00
TXN0111,CYCLE_2_C,CYCLE_2_D,1600.0,2026-01-02 12:45:00
TXN0112,CYCLE_2_D,CYCLE_2_A,1600.0,2026-01-02 13:00:00
TXN0113,CYCLE_3_A,CYCLE_3_B,1650.0,2026-01-02 13:15:00
TXN0114,CYCLE_3_B,CYCLE_3_C,1650.0,2026-01-02 13:30:00
TXN0115,CYCLE_3_C,CYCLE_3_D,1650.0,2026-01-02 13:45:00
TXN0116,CYCLE_3_D,CYCLE_3_A,1650.0,2026-01-02 14:00:00
TXN0117,CYCLE_4_A,CYCLE_4_B,1700.0,2026-01-02 14:15:00
TXN0118,CYCLE_4_B,CYCLE_4_C,1700.0,2026-01-02 14:30:00
TXN0119,CYCLE_4_C,CYCLE_4_D,1700.0,2026-01-02 14:45:00
TXN0120,CYCLE_4_D,CYCLE_4_A,1700.0,2026-01-02 15:00:00
TXN0121,CYCLE_5_A,CYCLE_5_B,1750.0,2026-01-02 15:15:00
TXN0122,CYCLE_5_B,CYCLE_5_C,1750.0,2026-01-02 15:30:00
TXN0123,CYCLE_5_C,CYCLE_5_D,1750.0,2026-01-02 15:45:00
TXN0124,CYCLE_5_D,CYCLE_5_A,1750.0,2026-01-02 16:00:00
TXN0125,CYCLE_6_A,CYCLE_6_B,1800.0,2026-01-02 16:15:00
TXN0126,CYCLE_6_B,CYCLE_6_C,1800.0,2026-01-02 16:30:00
TXN0127,CYCLE_6_C,CYCLE_6_D,1800.0,2026-01-02 16:45:00
TXN0128,CYCLE_6_D,CYCLE_6_A,1800.0,2026-01-02 17:00:00
TXN0129,CYCLE_7_A,CYCLE_7_B,1850.0,2026-01-02 17:15:00
TXN0130,CYCLE_7_B,CYCLE_7_C,1850.0,2026-01-02 17:30:00
TXN0131,CYCLE_7_C,CYCLE_7_D,1850.0,2026-01-02 17:45:00
TXN0132,CYCLE_7_D,CYCLE_7_A,1850.0,2026-01-02 18:00:00
TXN0133,CYCLE_8_A,CYCLE_8_B,1900.0,2026-01-02 18:15:00
TXN0134,CYCLE_8_B,CYCLE_8_C,1900.0,2026-01-02 18:30:00
TXN0135,CYCLE_8_C,CYCLE_8_D,1900.0,2026-01-02 18:45:00
TXN0136,CYCLE_8_D,CYCLE_8_A,1900.0,2026-01-02 19:00:00
TXN0137,CYCLE_9_A,CYCLE_9_B,1950.0,2026-01-02 19:15:00
TXN0138,CYCLE_9_B,CYCLE_9_C,1950.0,2026-01-02 19:30:00
TXN0139,CYCLE_9_C,CYCLE_9_D,1950.0,2026-01-02 19:45:00
TXN0140,CYCLE_9_D,CYCLE_9_A,1950.0,2026-01-02 20:00:00
TXN0141,SMURF_0_0,SMURF_AGG_0,90.0,2026-01-02 20:15:00
TXN0142,SMURF_0_1,SMURF_AGG_0,91.0,2026-01-02 20:30:00
TXN0143,SMURF_0_2,SMURF_AGG_0,92.0,2026-01-02 20:45:00
TXN0144,SMURF_0_3,SMURF_AGG_0,93.0,2026-01-02 21:00:00
TXN0145,SMURF_0_4,SMURF_AGG_0,94.0,2026-01-02 21:15:00
TXN0146,SMURF_0_5,SMURF_AGG_0,95.0,2026-01-02 21:30:00
TXN0147,SMURF_0_6,SMURF_AGG_0,96.0,2026-01-02 21:45:00
TXN0148,SMURF_0_7,SMURF_AGG_0,97.0,2026-01-02 22:00:00
TXN0149,SMURF_0_8,SMURF_AGG_0,98.0,2026-01-02 22:15:00
TXN0150,SMURF_1_0,SMURF_AGG_1,90.0,2026-01-02 22:30:00
TXN0151,SMURF_1_1,SMURF_AGG_1,91.0,2026-01-02 22:45:00
TXN0152,SMURF_1_2,SMURF_AGG_1,92.0,2026-01-02 23:00:00
TXN0153,SMURF_1_3,SMURF_AGG_1,93.0,2026-01-02 23:15:00
TXN0154,SMURF_1_4,SMURF_AGG_1,94.0,2026-01-02 23:30:00
TXN0155,SMURF_1_5,SMURF_AGG_1,95.0,2026-01-02 23:45:00
TXN0156,SMURF_1_6,SMURF_AGG_1,96.0,2026-01-03 00:00:00
TXN0157,SMURF_1_7,SMURF_AGG_1,97.0,2026-01-03 00:15:00
TXN0158,SMURF_1_8,SMURF_AGG_1,98.0,2026-01-03 00:30:00
TXN0159,SMURF_2_0,SMURF_AGG_2,90.0,2026-01-03 00:45:00
TXN0160,SMURF_2_1,SMURF_AGG_2,91.0,2026-01-03 01:00:00
TXN0161,SMURF_2_2,SMURF_AGG_2,92.0,2026-01-03 01:15:00
TXN0162,SMURF_2_3,SMURF_AGG_2,93.0,2026-01-03 01:30:00
TXN0163,SMURF_2_4,SMURF_AGG_2,94.0,2026-01-03 01:45:00
TXN0164,SMURF_2_5,SMURF_AGG_2,95.0,2026-01-03 02:00:00
TXN0165,SMURF_2_6,SMURF_AGG_2,96.0,2026-01-03 02:15:00
TXN0166,SMURF_2_7,SMURF_AGG_2,97.0,2026-01-03 02:30:00
TXN0167,SMURF_2_8,SMURF_AGG_2,98.0,2026-01-03 02:45:00
TXN0168,SMURF_AGG_0,SMURF_OUT_0,500.0,2026-01-03 03:00:00
TXN0169,SMURF_AGG_1,SMURF_OUT_1,500.0,2026-01-03 03:15:00
TXN0170,SMURF_AGG_2,SMURF_OUT_2,500.0,2026-01-03 03:30:00
TXN0171,SHELL_0_START,SHELL_0_MID1,2000.0,2026-01-03 03:45:00
TXN0172,SHELL_0_MID1,SHELL_0_MID2,2000.0,2026-01-03 04:00:00
TXN0173,SHELL_0_MID2,SHELL_0_END,2000.0,2026-01-03 04:15:00
TXN0174,SHELL_1_START,SHELL_1_MID1,1990.0,2026-01-03 04:30:00
TXN0175,SHELL_1_MID1,SHELL_1_MID2,1990.0,2026-01-03 04:45:00
TXN0176,SHELL_1_MID2,SHELL_1_END,1990.0,2026-01-03 05:00:00
TXN0177,SHELL_2_START,SHELL_2_MID1,1980.0,2026-01-03 05:15:00
TXN0178,SHELL_2_MID1,SHELL_2_MID2,1980.0,2026-01-03 05:30:00
